#DESCRIPTION,enc_FL,enc_FR,enc_RL,enc_RR,time
0.01,0.1,0.2,0.3,0.4,122050.026
0.026,1.0,2.0,3.0,4.0,122050.026
0.106,10.0,0.1,2.0,0.0,122050.106
42049.64,2.1,2.2,-2.0,-2.0,131913.64
42049.64,2.123,2.45,1.0,-4.0,131913.64
42049.767,1.9,1.8,-2.0,-2.0,131913.767
42049.77,2.0,2.0,1.0,-4.0,131913.77
42049.908,2.0,2.0,-2.0,-2.0,131913.908
42049.93,2.0,2.0,2.0,-4.0,131913.93
42050.04,2.0,2.0,-2.0,-2.0,131914.04
42050.06,2.0,2.0,1.0,-4.0,131914.06
42050.175,2.0,2.0,-2.0,-2.0,131914.175
42050.2,2.0,2.0,2.0,-4.0,131914.2
42050.328,2.0,2.0,-2.0,-2.0,131914.328
